,property,pid,llama-online-response,mistrall-small-response,sonar-pro-response,agreement
0,governance, AID        ,Unknown,Unknown,Unknown,3: Unknown
1,governance, ARK        ,Community Governance,Community Governance,Community Governance,3
2,governance, BibCode        ,Community Governance,Community Governance,Closed Governance,2
3,governance, Bitbucket        ,Unknown,Community Governance,Closed Governance,1
4,governance, Book ID        ,Community Governance,Unknown,Unknown,2
5,governance, BusinessID        ,Unknown,Unknown,Unknown,3: Unknown
6,governance, CID        ,Community Governance,Unknown,Unknown,2
7,governance, COL        ,Membership Governance,Unknown,Unknown,2
8,governance, CONFIDENT        ,Membership Governance,Community Governance,Unknown,1
9,governance, CURIE        ,Community Governance,Community Governance,Unknown,2
10,governance, CrossRef Funders        ,Unknown,Community Governance,Membership Governance,1
11,governance, CrossRef Grant        ,Membership Governance,Community Governance,Membership Governance,2
12,governance, DAI        ,Unknown,Unknown,Unknown,3: Unknown
13,governance, DCO-ID        ,Closed Governance,Community Governance,Unknown,1
14,governance, DOI        ,Closed Governance,Community Governance,Membership Governance,1
15,governance, DOI: Crossref        ,Membership Governance,Membership Governance,Membership Governance,3
16,governance, DOI: DataCIte        ,Community Governance,Community Governance,Membership Governance,2
17,governance, EAN13        ,Unknown,Community Governance,Closed Governance,1
18,governance, EIDR        ,Membership Governance,Not found,Membership Governance,2
19,governance, EU PIC        ,Membership Governance,Community Governance,Closed Governance,1
20,governance, GDS ID        ,Community Governance,Unknown,Unknown,2
21,governance, GEO ID        ,Community Governance,Unknown,Unknown,2
22,governance, GND        ,Community Governance,Community Governance,Membership Governance,2
23,governance, GRID        ,Closed Governance,Community Governance,Closed Governance,2
24,governance, GePRIS        ,Closed Governance,Community Governance,Closed Governance,2
25,governance, Gene ID        ,Community Governance,Unknown,Unknown,2
26,governance, Genome ID        ,Unknown,Community Governance,Unknown,2
27,governance, GeoNames ID        ,Community Governance,Community Governance,Community Governance,3
28,governance, GitHub        ,Community Governance,Unknown,Closed Governance,1
29,governance, GitLab        ,Unknown,Not found,Closed Governance,1
30,governance, HAL article ID        ,Community Governance,Community Governance,Community Governance,3
31,governance, Handle        ,Unknown,Closed Governance,Membership Governance,1
