,lodAIC,model,property,pid,short_response
0,pid_graph:AP0AEB083B,mistral-small,metadata, AID          ,No Metadata Schema Prescribed
1,pid_graph:AP7D4E5ACB,mistral-small,structure, AID        ,Unknown
2,pid_graph:APE39D4FF0,mistral-small,governance, AID        ,Unknown
3,pid_graph:AP9364E21B,mistral-small,metadata, ARK          ,Metadata Schema per Entity
4,pid_graph:AP9DEF623A,mistral-small,structure, ARK        ,Allows Managed Prefix
5,pid_graph:AP5F91618C,mistral-small,governance, ARK        ,Community Governance
6,pid_graph:AP260ED8E3,mistral-small,metadata, arXiv          ,Metadata Schema per Entity
7,pid_graph:APBB4AFFC2,mistral-small,structure, arXiv        ,Allows Managed Prefix
8,pid_graph:AP3C4CFB06,mistral-small,governance, arXiv        ,Community Governance
9,pid_graph:AP8C1FE868,mistral-small,metadata, BibCode          ,Metadata Schema per Entity
10,pid_graph:APF90E9EBE,mistral-small,structure, BibCode        ,Allows User Semantics
11,pid_graph:AP3B270C73,mistral-small,governance, BibCode        ,Community Governance
12,pid_graph:AP2979A55B,mistral-small,metadata, Bitbucket          ,No Metadata Schema Prescribed
13,pid_graph:AP4C2A5ACE,mistral-small,structure, Bitbucket        ,Predefined Identifier Structure
14,pid_graph:APA44A99E4,mistral-small,governance, Bitbucket        ,Community Governance
15,pid_graph:AP47CC0B91,mistral-small,metadata, Book ID          ,Metadata Schema per Entity
16,pid_graph:APD064DE2D,mistral-small,structure, Book ID        ,Not found
17,pid_graph:AP66BC0F2F,mistral-small,governance, Book ID        ,Unknown
18,pid_graph:AP685862BE,mistral-small,metadata, BusinessID          ,Unknown
19,pid_graph:APCA46BF8C,mistral-small,structure, BusinessID        ,Not found
20,pid_graph:APF6ED311F,mistral-small,governance, BusinessID        ,Unknown
21,pid_graph:APCF048669,mistral-small,metadata, CID          ,No Metadata Schema Prescribed
22,pid_graph:AP57F1EA99,mistral-small,structure, CID        ,Allows Managed Prefix
23,pid_graph:APA755B6C6,mistral-small,governance, CID        ,Unknown
24,pid_graph:APF274C2EF,mistral-small,metadata, COL          ,No Metadata Schema Prescribed
25,pid_graph:APE02B6C1A,mistral-small,structure, COL        ,Unknown
26,pid_graph:AP02A6D040,mistral-small,governance, COL        ,Unknown
